site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_10,ds_hx14,downstream,riffle,xs6,43.307658,0.04324101,1.511,0.681,6.166,4.403,1.823,4.081,29.253,29.529
site_10,ds_hx14,downstream,pool,xs7,43.307658,0.04324101,2.49,1.201,7.415,10.885,1.516,2.978,29.294,29.154
site_10,ds_hx14,downstream,riffle,xs8,43.307658,0.04324101,1.154,0.684,10.15,7.368,2.006,8.795,29.475,29.221
site_10,ds_hx14,downstream,pool,xs9,43.307658,0.04324101,2.673,0.996,4.646,6.092,1.343,1.738,29.191,29.433
site_11,us_hx15,upstream,riffle,xs8,43.307658,0.04324101,0.847,0.303,5.79,1.755,2.202,9.041,28.877,28.765
site_11,us_hx15,upstream,pool,xs7,43.307658,0.04324101,3.131,1.484,8.908,17.961,1.205,2.969,29.284,29.315
site_11,us_hx15,upstream,riffle,xs6,43.307658,0.04324101,0.745,0.393,7.172,2.868,1.866,6.131,28.747,28.692
site_11,us_hx15,upstream,pool,xs5,43.307658,0.04324101,2.638,1.036,6.391,8.625,1.404,3.001,28.798,28.969
site_11,us_hx15,upstream,riffle,xs4,43.307658,0.04324101,1.131,0.604,7.674,4.855,1.804,4.47,28.86,29.083
site_11,us_hx15,upstream,pool,xs3,43.307658,0.04324101,2.762,1.153,8.128,11.634,1.237,2.495,28.983,29.43
site_11,us_hx15,upstream,riffle,xs2,43.307658,0.04324101,1.01,0.602,5.074,3.335,2.077,4.973,28.6,29.002
site_11,us_hx15,upstream,pool,xs1,43.307658,0.04324101,2.818,1.43,7.556,14.616,1.223,3.302,28.865,28.818
site_11,ds_hx15,downstream,riffle,xs1,43.42489,0.04411612,0.868,0.423,7.847,3.459,2.403,9.041,28.226,29.378
site_11,ds_hx15,downstream,pool,xs2,43.42489,0.04411612,1.642,0.845,4.875,4.338,1.709,2.969,28.247,28.682
site_11,ds_hx15,downstream,riffle,xs3,43.42489,0.04411612,1.023,0.59,6.272,3.665,1.708,6.131,28.448,28.303
site_11,ds_hx15,downstream,pool,xs4,43.42489,0.04411612,2.949,1.581,8.85,16.484,1.178,3.001,28.859,28.753
site_11,ds_hx15,downstream,riffle,xs5,43.42489,0.04411612,1.342,0.886,5.999,5.302,1.496,4.47,27.621,28.109
site_11,ds_hx15,downstream,pool,xs6,43.42489,0.04411612,2.7,1.337,6.736,11.706,1,2.495,28.029,28.414
site_11,ds_hx15,downstream,riffle,xs7,43.42489,0.04411612,1.146,0.695,5.699,3.442,,4.973,28.179,27.55
site_11,ds_hx15,downstream,pool,xs8,43.42489,0.04411612,2.391,1.379,7.894,12.498,,3.302,27.999,28.271
